sampleID	plant	syncom	treatment	generation	line	sample_type	condition
g16_l19	gifu	lj	native	16	19	generation	gifu_lj
g16_l20	gifu	lj	native	16	20	generation	gifu_lj
g2_l1	col0	at	native	2	1	generation	col0_at
g2_l2	col0	at	native	2	2	generation	col0_at
g2_l3	col0	at	native	2	3	generation	col0_at
g2_l4	col0	at	native	2	4	generation	col0_at
g2_l5	col0	at	native	2	5	generation	col0_at
g2_l6	col0	lj	non-native	2	6	generation	col0_lj
g2_l7	col0	lj	non-native	2	7	generation	col0_lj
g2_l8	col0	lj	non-native	2	8	generation	col0_lj
g2_l9	col0	lj	non-native	2	9	generation	col0_lj
g2_l10	col0	lj	non-native	2	10	generation	col0_lj
g2_l11	gifu	at	non-native	2	11	generation	gifu_at
g2_l12	gifu	at	non-native	2	12	generation	gifu_at
g2_l13	gifu	at	non-native	2	13	generation	gifu_at
g2_l14	gifu	at	non-native	2	14	generation	gifu_at
g2_l15	gifu	at	non-native	2	15	generation	gifu_at
g2_l16	gifu	lj	native	2	16	generation	gifu_lj
g2_l17	gifu	lj	native	2	17	generation	gifu_lj
g2_l18	gifu	lj	native	2	18	generation	gifu_lj
g2_l19	gifu	lj	native	2	19	generation	gifu_lj
g2_l20	gifu	lj	native	2	20	generation	gifu_lj
g3_l2	col0	at	native	3	2	generation	col0_at
g3_l5	col0	at	native	3	5	generation	col0_at
g3_l6	col0	lj	non-native	3	6	generation	col0_lj
g3_l7	col0	lj	non-native	3	7	generation	col0_lj
g3_l8	col0	lj	non-native	3	8	generation	col0_lj
g3_l9	col0	lj	non-native	3	9	generation	col0_lj
g3_l10	col0	lj	non-native	3	10	generation	col0_lj
g3_l11	gifu	at	non-native	3	11	generation	gifu_at
g3_l12	gifu	at	non-native	3	12	generation	gifu_at
g3_l13	gifu	at	non-native	3	13	generation	gifu_at
g3_l15	gifu	at	non-native	3	15	generation	gifu_at
g3_l16	gifu	lj	native	3	16	generation	gifu_lj
g3_l17	gifu	lj	native	3	17	generation	gifu_lj
g3_l18	gifu	lj	native	3	18	generation	gifu_lj
g3_l19	gifu	lj	native	3	19	generation	gifu_lj
g3_l20	gifu	lj	native	3	20	generation	gifu_lj
