line	generation	sample_type	weight	plant	syncom	condition
c19	5	competition	82.5	gifu	mixed	non-native
c2	5	competition	57.699999999999996	col0	mixed	native
c2	5	competition	60.1	col0	mixed	native
c2	5	competition	81.89999999999999	col0	mixed	native
c20	5	competition	19.200000000000003	gifu	mixed	non-native
c20	5	competition	27.1	gifu	mixed	non-native
c20	5	competition	43.9	gifu	mixed	non-native
c3	5	competition	3.700000000000003	col0	mixed	native
c3	5	competition	35.5	col0	mixed	native
c3	5	competition	48.0	col0	mixed	native
c4	5	competition	26.299999999999997	col0	mixed	native
c4	5	competition	63.0	col0	mixed	native
c5	5	competition	37.3	col0	mixed	native
c5	5	competition	66.2	col0	mixed	native
c5	5	competition	67.5	col0	mixed	native
c6	5	competition	11.4	gifu	mixed	native
c6	5	competition	63.800000000000004	gifu	mixed	native
c7	5	competition	11.399999999999999	gifu	mixed	native
c7	5	competition	11.8	gifu	mixed	native
c8	5	competition	58.30000000000001	gifu	mixed	native
c8	5	competition	82.0	gifu	mixed	native
c8	5	competition	193.89999999999998	gifu	mixed	native
c9	5	competition	19.299999999999997	gifu	mixed	native
c9	5	competition	64.4	gifu	mixed	native
c9	5	competition	103.39999999999999	gifu	mixed	native
lj_axenic	5	axenic	27.599999999999994	gifu		
lj_axenic	5	axenic	38.2	gifu		
lj_axenic	5	axenic	40.7	gifu		
lj_axenic	5	axenic	40.800000000000004	gifu		
lj_axenic	5	axenic	43.4	gifu		
lj_axenic	5	axenic	52.800000000000004	gifu		
lj_axenic	5	axenic	54.29999999999998	gifu		
lj_axenic	5	axenic	60.0	gifu		
lj_axenic	5	axenic	61.7	gifu		
lj_axenic	5	axenic	62.6	gifu		
lj_axenic	5	axenic	63.2	gifu		
1	6	generation	30.200000000000017	col0	at	native
1	6	generation	33.9	col0	at	native
1	6	generation	61.6	col0	at	native
1	6	generation	73.6	col0	at	native
1	6	generation	81.19999999999999	col0	at	native
10	6	generation	28.700000000000045	col0	lj	non-native
10	6	generation	43.099999999999994	col0	lj	non-native
10	6	generation	48.00000000000003	col0	lj	non-native
10	6	generation	48.099999999999966	col0	lj	non-native
10	6	generation	52.19999999999999	col0	lj	non-native
10	6	generation	96.9	col0	lj	non-native
10	6	generation	108.6	col0	lj	non-native
11	6	generation	32.2	gifu	at	non-native
11	6	generation	35.5	gifu	at	non-native
11	6	generation	60.0	gifu	at	non-native
11	6	generation	70.2	gifu	at	non-native
11	6	generation	105.20000000000002	gifu	at	non-native
12	6	generation	29.19999999999999	gifu	at	non-native
12	6	generation	36.8	gifu	at	non-native
12	6	generation	37.39999999999998	gifu	at	non-native
12	6	generation	69.5	gifu	at	non-native
12	6	generation	76.7	gifu	at	non-native
12	6	generation	116.10000000000002	gifu	at	non-native
13	6	generation	31.0	gifu	at	non-native
13	6	generation	34.19999999999999	gifu	at	non-native
13	6	generation	35.5	gifu	at	non-native
13	6	generation	107.5	gifu	at	non-native
13	6	generation	129.4	gifu	at	non-native
13	6	generation	138.79999999999998	gifu	at	non-native
14	6	generation	6.199999999999932	gifu	at	non-native
14	6	generation	101.8	gifu	at	non-native
14	6	generation	103.50000000000001	gifu	at	non-native
14	6	generation	128.89999999999998	gifu	at	non-native
14	6	generation	202.80000000000007	gifu	at	non-native
14	6	generation	210.2	gifu	at	non-native
15	6	generation	45.5	gifu	at	non-native
15	6	generation	104.40000000000003	gifu	at	non-native
15	6	generation	120.7	gifu	at	non-native
15	6	generation	122.5	gifu	at	non-native
15	6	generation	140.7	gifu	at	non-native
15	6	generation	187.2	gifu	at	non-native
16	6	generation	33.69999999999999	gifu	lj	native
16	6	generation	49.69999999999999	gifu	lj	native
16	6	generation	93.80000000000001	gifu	lj	native
16	6	generation	96.2	gifu	lj	native
16	6	generation	105.8	gifu	lj	native
16	6	generation	121.10000000000002	gifu	lj	native
17	6	generation	44.2	gifu	lj	native
17	6	generation	62.69999999999999	gifu	lj	native
17	6	generation	83.30000000000001	gifu	lj	native
17	6	generation	86.30000000000001	gifu	lj	native
17	6	generation	100.0	gifu	lj	native
17	6	generation	123.8	gifu	lj	native
18	6	generation	48.60000000000002	gifu	lj	native
18	6	generation	49.60000000000002	gifu	lj	native
18	6	generation	69.39999999999998	gifu	lj	native
18	6	generation	71.69999999999999	gifu	lj	native
18	6	generation	74.19999999999999	gifu	lj	native
18	6	generation	159.3	gifu	lj	native
19	6	generation	32.200000000000045	gifu	lj	native
19	6	generation	34.30000000000001	gifu	lj	native
19	6	generation	76.39999999999998	gifu	lj	native
19	6	generation	95.0	gifu	lj	native
19	6	generation	125.59999999999997	gifu	lj	native
19	6	generation	176.5	gifu	lj	native
2	6	generation	19.5	col0	at	native
2	6	generation	25.5	col0	at	native
2	6	generation	28.69999999999999	col0	at	native
2	6	generation	35.0	col0	at	native
2	6	generation	68.9	col0	at	native
2	6	generation	72.6	col0	at	native
2	6	generation	84.0	col0	at	native
20	6	generation	34.799999999999955	gifu	lj	native
20	6	generation	35.20000000000002	gifu	lj	native
20	6	generation	68.4	gifu	lj	native
20	6	generation	72.29999999999998	gifu	lj	native
20	6	generation	101.9	gifu	lj	native
20	6	generation	149.3	gifu	lj	native
3	6	generation	21.900000000000034	col0	at	native
3	6	generation	28.0	col0	at	native
3	6	generation	33.599999999999994	col0	at	native
3	6	generation	38.299999999999955	col0	at	native
3	6	generation	60.0	col0	at	native
3	6	generation	146.6	col0	at	native
4	6	generation	13.399999999999977	col0	at	native
4	6	generation	23.5	col0	at	native
4	6	generation	40.2	col0	at	native
4	6	generation	42.599999999999994	col0	at	native
4	6	generation	50.70000000000002	col0	at	native
4	6	generation	57.30000000000001	col0	at	native
4	6	generation	88.8	col0	at	native
4	6	generation	115.19999999999999	col0	at	native
5	6	generation	36.2	col0	at	native
5	6	generation	39.79999999999998	col0	at	native
5	6	generation	45.0	col0	at	native
5	6	generation	46.7	col0	at	native
6	6	generation	44.80000000000007	col0	lj	non-native
6	6	generation	54.30000000000001	col0	lj	non-native
6	6	generation	65.69999999999999	col0	lj	non-native
6	6	generation	73.0	col0	lj	non-native
6	6	generation	75.5	col0	lj	non-native
6	6	generation	87.5	col0	lj	non-native
6	6	generation	94.59999999999997	col0	lj	non-native
6	6	generation	124.80000000000001	col0	lj	non-native
7	6	generation	43.5	col0	lj	non-native
7	6	generation	59.19999999999999	col0	lj	non-native
7	6	generation	61.5	col0	lj	non-native
7	6	generation	68.19999999999999	col0	lj	non-native
7	6	generation	75.5	col0	lj	non-native
7	6	generation	85.79999999999995	col0	lj	non-native
7	6	generation	130.3	col0	lj	non-native
7	6	generation	149.8	col0	lj	non-native
8	6	generation	21.5	col0	lj	non-native
8	6	generation	31.60000000000001	col0	lj	non-native
8	6	generation	40.1	col0	lj	non-native
8	6	generation	55.1	col0	lj	non-native
9	6	generation	20.3	col0	lj	non-native
9	6	generation	37.80000000000001	col0	lj	non-native
9	6	generation	41.80000000000001	col0	lj	non-native
9	6	generation	42.299999999999955	col0	lj	non-native
9	6	generation	60.400000000000006	col0	lj	non-native
9	6	generation	63.400000000000034	col0	lj	non-native
9	6	generation	116.8	col0	lj	non-native
axenic_at	6	axenic	10.399999999999999	col0		
axenic_at	6	axenic	27.700000000000003	col0		
axenic_at	6	axenic	32.79999999999998	col0		
axenic_at	6	axenic	39.5	col0		
axenic_at	6	axenic	45.400000000000006	col0		
axenic_at	6	axenic	48.400000000000006	col0		
axenic_at	6	axenic	49.89999999999999	col0		
axenic_at	6	axenic	53.2	col0		
axenic_at	6	axenic	58.9	col0		
axenic_at	6	axenic	70.50000000000003	col0		
axenic_at	6	axenic	71.0	col0		
axenic_at	6	axenic	73.3	col0		
axenic_at	6	axenic	74.69999999999999	col0		
axenic_at	6	axenic	78.60000000000001	col0		
axenic_lj	6	axenic	26.5	gifu		
axenic_lj	6	axenic	49.0	gifu		
axenic_lj	6	axenic	49.29999999999998	gifu		
axenic_lj	6	axenic	61.3	gifu		
axenic_lj	6	axenic	62.80000000000001	gifu		
axenic_lj	6	axenic	78.8	gifu		
axenic_lj	6	axenic	78.89999999999999	gifu		
axenic_lj	6	axenic	79.79999999999998	gifu		
axenic_lj	6	axenic	89.3	gifu		
axenic_lj	6	axenic	97.9	gifu		
axenic_lj	6	axenic	98.9	gifu		
axenic_lj	6	axenic	101.69999999999999	gifu		
axenic_lj	6	axenic	111.00000000000003	gifu		
axenic_lj	6	axenic	114.19999999999999	gifu		
axenic_lj	6	axenic	117.4	gifu		
1	7	generation	31.5	col0	at	native
1	7	generation	31.69999999999999	col0	at	native
1	7	generation	31.900000000000006	col0	at	native
1	7	generation	49.80000000000001	col0	at	native
1	7	generation	54.400000000000034	col0	at	native
1	7	generation	63.79999999999998	col0	at	native
1	7	generation	69.5	col0	at	native
1	7	generation	69.5	col0	at	native
1	7	generation	76.19999999999999	col0	at	native
10	7	generation	38.9	col0	lj	non-native
10	7	generation	48.099999999999966	col0	lj	non-native
10	7	generation	56.1	col0	lj	non-native
10	7	generation	56.69999999999999	col0	lj	non-native
10	7	generation	76.39999999999998	col0	lj	non-native
10	7	generation	89.40000000000003	col0	lj	non-native
10	7	generation	93.0	col0	lj	non-native
10	7	generation	100.80000000000001	col0	lj	non-native
11	7	generation	34.7	gifu	at	non-native
11	7	generation	60.49999999999997	gifu	at	non-native
11	7	generation	66.4	gifu	at	non-native
11	7	generation	75.39999999999998	gifu	at	non-native
11	7	generation	81.70000000000005	gifu	at	non-native
11	7	generation	104.3	gifu	at	non-native
12	7	generation	69.5	gifu	at	non-native
12	7	generation	73.0	gifu	at	non-native
12	7	generation	83.9	gifu	at	non-native
12	7	generation	85.0	gifu	at	non-native
12	7	generation	128.79999999999998	gifu	at	non-native
13	7	generation	36.5	gifu	at	non-native
13	7	generation	106.89999999999998	gifu	at	non-native
13	7	generation	114.89999999999998	gifu	at	non-native
13	7	generation	117.69999999999999	gifu	at	non-native
13	7	generation	140.30000000000007	gifu	at	non-native
13	7	generation	141.8	gifu	at	non-native
14	7	generation	53.599999999999994	gifu	at	non-native
14	7	generation	59.599999999999994	gifu	at	non-native
14	7	generation	70.30000000000001	gifu	at	non-native
14	7	generation	88.9	gifu	at	non-native
14	7	generation	92.4	gifu	at	non-native
14	7	generation	131.2	gifu	at	non-native
15	7	generation	59.09999999999991	gifu	at	non-native
15	7	generation	77.5	gifu	at	non-native
15	7	generation	99.5	gifu	at	non-native
15	7	generation	114.1	gifu	at	non-native
15	7	generation	133.70000000000005	gifu	at	non-native
15	7	generation	144.9	gifu	at	non-native
16	7	generation	58.69999999999999	gifu	lj	native
16	7	generation	82.0	gifu	lj	native
16	7	generation	93.0	gifu	lj	native
16	7	generation	98.0	gifu	lj	native
16	7	generation	111.0	gifu	lj	native
16	7	generation	118.69999999999999	gifu	lj	native
17	7	generation	29.69999999999999	gifu	lj	native
17	7	generation	53.400000000000006	gifu	lj	native
17	7	generation	53.5	gifu	lj	native
17	7	generation	63.60000000000002	gifu	lj	native
17	7	generation	78.0	gifu	lj	native
17	7	generation	107.4	gifu	lj	native
18	7	generation	55.0	gifu	lj	native
18	7	generation	81.5	gifu	lj	native
18	7	generation	99.69999999999999	gifu	lj	native
18	7	generation	129.0	gifu	lj	native
18	7	generation	129.2	gifu	lj	native
18	7	generation	132.0	gifu	lj	native
19	7	generation	94.00000000000003	gifu	lj	native
19	7	generation	108.60000000000002	gifu	lj	native
19	7	generation	111.09999999999997	gifu	lj	native
19	7	generation	112.1	gifu	lj	native
19	7	generation	113.0	gifu	lj	native
19	7	generation	159.90000000000003	gifu	lj	native
2	7	generation	28.80000000000001	col0	at	native
2	7	generation	36.29999999999998	col0	at	native
2	7	generation	41.2	col0	at	native
2	7	generation	49.39999999999998	col0	at	native
2	7	generation	51.3	col0	at	native
2	7	generation	58.099999999999994	col0	at	native
2	7	generation	64.40000000000003	col0	at	native
2	7	generation	100.5	col0	at	native
20	7	generation	61.79999999999998	gifu	lj	native
20	7	generation	64.80000000000001	gifu	lj	native
20	7	generation	95.39999999999998	gifu	lj	native
20	7	generation	118.0	gifu	lj	native
20	7	generation	164.9	gifu	lj	native
3	7	generation	27.30000000000001	col0	at	native
3	7	generation	36.10000000000002	col0	at	native
3	7	generation	50.599999999999994	col0	at	native
